Date,Close,SMA20,SMA60,Signal,Position,Strategy Return
2015-04-01,107.5835952758789,,,0,,
2015-04-02,109.82488250732422,,,0,0.0,0.0
2015-04-07,109.0777816772461,,,0,0.0,-0.0
2015-04-08,106.83645629882812,,,0,0.0,-0.0
2015-04-09,106.83645629882812,,,0,0.0,0.0
2015-04-10,109.82488250732422,,,0,0.0,0.0
2015-04-13,109.82488250732422,,,0,0.0,0.0
2015-04-14,107.5835952758789,,,0,0.0,-0.0
2015-04-15,106.83645629882812,,,0,0.0,-0.0
2015-04-16,109.82488250732422,,,0,0.0,0.0
2015-04-17,106.46289825439453,,,0,0.0,-0.0
2015-04-20,106.83645629882812,,,0,0.0,0.0
2015-04-21,106.46289825439453,,,0,0.0,-0.0
2015-04-22,107.21001434326172,,,0,0.0,0.0
2015-04-23,109.82488250732422,,,0,0.0,0.0
2015-04-24,113.93399047851562,,,0,0.0,0.0
2015-04-27,113.18692016601562,,,0,0.0,-0.0
2015-04-28,113.18692016601562,,,0,0.0,0.0
2015-04-29,110.94556427001953,,,0,0.0,-0.0
2015-04-30,109.82488250732422,109.09646492004394,,0,0.0,-0.0
2015-05-04,110.19844818115234,109.22720756530762,,0,0.0,0.0
2015-05-05,109.82488250732422,109.22720756530762,,0,0.0,-0.0
2015-05-06,110.19844818115234,109.28324089050292,,0,0.0,0.0
2015-05-07,109.45133972167969,109.4139850616455,,0,0.0,-0.0
2015-05-08,109.45133972167969,109.54472923278809,,0,0.0,0.0
2015-05-11,110.94556427001953,109.60076332092285,,0,0.0,0.0
2015-05-12,110.19844818115234,109.61944160461425,,0,0.0,-0.0
2015-05-13,110.57201385498047,109.76886253356933,,0,0.0,0.0
2015-05-14,109.0777816772461,109.88092880249023,,0,0.0,-0.0
2015-05-15,109.45133972167969,109.86225166320801,,0,0.0,0.0
2015-05-18,109.45133972167969,110.01167373657226,,0,0.0,0.0
2015-05-19,109.45133972167969,110.14241790771484,,0,0.0,0.0
2015-05-20,109.45133972167969,110.29183998107911,,0,0.0,0.0
2015-05-21,108.70426177978516,110.36655235290527,,0,0.0,-0.0
2015-05-22,108.70426177978516,110.31052131652832,,0,0.0,0.0
2015-05-25,110.19844818115234,110.12374420166016,,0,0.0,0.0
2015-05-26,109.45133972167969,109.93696517944336,,0,0.0,-0.0
2015-05-27,108.33070373535156,109.69415435791015,,0,0.0,-0.0
2015-05-28,109.82488250732422,109.63812026977538,,0,0.0,0.0
2015-05-29,109.0777816772461,109.60076522827148,,0,0.0,-0.0
2015-06-01,108.33070373535156,109.50737800598145,,0,0.0,-0.0
2015-06-02,107.5835952758789,109.39531364440919,,0,0.0,-0.0
2015-06-03,106.83645629882812,109.22721405029297,,0,0.0,-0.0
2015-06-04,105.34223937988281,109.02175903320312,,0,0.0,-0.0
2015-06-05,104.59515380859375,108.77894973754883,,0,0.0,-0.0
2015-06-08,103.4744873046875,108.40539588928223,,0,0.0,-0.0
2015-06-09,103.84803009033203,108.0878749847412,,0,0.0,0.0
2015-06-10,104.22157287597656,107.77035293579101,,0,0.0,0.0
2015-06-11,107.21001434326172,107.6769645690918,,0,0.0,0.0
2015-06-12,107.9571304321289,107.60225410461426,,0,0.0,0.0
2015-06-15,106.83645629882812,107.47150993347168,,0,0.0,-0.0
2015-06-16,106.08934783935547,107.30341033935547,,0,0.0,-0.0
2015-06-17,106.46289825439453,107.15398826599122,,0,0.0,0.0
2015-06-18,106.08934783935547,107.02324256896972,,0,0.0,-0.0
2015-06-22,106.08934783935547,106.89249687194824,,0,0.0,0.0
2015-06-23,107.9571304321289,106.78043098449707,,0,0.0,0.0
2015-06-24,108.33070373535156,106.72439918518066,,0,0.0,0.0
2015-06-25,109.45133972167969,106.78043098449707,,0,0.0,0.0
2015-06-26,109.0777816772461,106.74307594299316,,0,0.0,-0.0
2015-06-29,106.76508331298828,106.62744102478027,108.44155705769857,-1,0.0,-0.0
2015-06-30,108.30683898925781,106.62624778747559,108.45361111958822,-1,-1.0,-0.014440635724975559
2015-07-01,108.69224548339844,106.68168029785156,108.43473383585612,-1,-1.0,-0.00355846867785381
2015-07-02,109.07769012451172,106.79374198913574,108.4347323099772,-1,-1.0,-0.0035462018417142804
2015-07-03,109.84858703613281,107.01905937194825,108.4849344889323,-1,-1.0,-0.007067411408704372
2015-07-06,108.30683898925781,107.20464363098145,108.50944086710612,-1,-1.0,0.01403521054274337
2015-07-07,108.30683898925781,107.44626121520996,108.48414014180501,-1,-1.0,-0.0
2015-07-08,106.37968444824219,107.57284393310547,108.42672017415364,-1,-1.0,0.017793470467795336
