Date,Close,SMA20,SMA60,Signal,Position,Strategy Return
2015-04-01,248.9757537841797,,,0,,
2015-04-02,244.52450561523438,,,0,0.0,-0.0
2015-04-07,249.86599731445312,,,0,0.0,0.0
2015-04-08,249.86599731445312,,,0,0.0,0.0
2015-04-09,250.4595947265625,,,0,0.0,0.0
2015-04-10,250.1627655029297,,,0,0.0,-0.0
2015-04-13,248.9757537841797,,,0,0.0,-0.0
2015-04-14,246.3050537109375,,,0,0.0,-0.0
2015-04-15,236.51217651367188,,,0,0.0,-0.0
2015-04-16,242.74398803710938,,,0,0.0,0.0
2015-04-17,237.9958953857422,,,0,0.0,-0.0
2015-04-20,231.4673614501953,,,0,0.0,-0.0
2015-04-21,232.0608673095703,,,0,0.0,0.0
2015-04-22,238.5894012451172,,,0,0.0,0.0
2015-04-23,239.18296813964844,,,0,0.0,0.0
2015-04-24,248.6790771484375,,,0,0.0,0.0
2015-04-27,243.6342315673828,,,0,0.0,-0.0
2015-04-28,236.8089141845703,,,0,0.0,-0.0
2015-04-29,237.69918823242188,,,0,0.0,0.0
2015-04-30,234.4348907470703,242.44721908569335,,0,0.0,-0.0
2015-05-04,225.53228759765625,241.2750457763672,,0,0.0,-0.0
2015-05-05,222.26800537109375,240.16222076416017,,0,0.0,-0.0
2015-05-06,219.5972442626953,238.64878311157227,,0,0.0,-0.0
2015-05-07,218.70700073242188,237.0908332824707,,0,0.0,-0.0
2015-05-08,223.45501708984375,235.74060440063477,,0,0.0,0.0
2015-05-11,219.5972442626953,234.21232833862305,,0,0.0,-0.0
2015-05-12,220.4875030517578,232.78791580200195,,0,0.0,0.0
2015-05-13,235.91864013671875,232.26859512329102,,0,0.0,0.0
2015-05-14,233.24790954589844,232.10538177490236,,0,0.0,-0.0
2015-05-15,231.4673614501953,231.54155044555665,,0,0.0,-0.0
2015-05-18,232.35763549804688,231.25963745117187,,0,0.0,0.0
2015-05-19,232.65432739257812,231.31898574829103,,0,0.0,0.0
2015-05-20,237.10565185546875,231.57122497558595,,0,0.0,0.0
