buy_date,buy_price,shares,sell_date,sell_price,return
2022-02-10,94.19280242919922,10616,2022-02-25,91.09725952148438,-0.03286390072151886
2022-03-22,91.98169708251953,10514,2022-04-08,91.09725952148438,-0.009615364676754124
2022-05-05,92.42391967773438,10363,2022-06-17,96.84611511230469,0.047846871783729955
2022-07-18,97.65684509277344,10277,2022-08-25,101.84214782714844,0.04285723883870083
2022-10-11,96.7267837524414,10820,2022-10-14,97.65684509277344,0.009615344419105182
2022-12-01,95.79672241210938,11031,2022-12-16,93.4715576171875,-0.024271861670999696
2023-02-03,92.6344985961914,11130,2023-03-15,95.33168029785156,0.029116384743632095
2023-03-21,96.26175689697266,11023,2023-04-12,95.33168029785156,-0.009661953293835466
2023-04-17,96.7267837524414,10864,2023-04-27,96.26175689697266,-0.004807632771693524
2023-05-02,98.5869140625,10607,2023-05-16,94.86665344238281,-0.03773584613632086
2023-05-30,99.51698303222656,10112,2023-07-10,101.88750457763672,0.023820271406765927
2023-07-17,107.73750305175781,9563,2023-08-15,104.32500457763672,-0.0316741930846653
2023-10-13,104.8125,9518,2023-10-23,97.98750305175781,-0.06511624995341384
2023-11-15,97.98750305175781,9518,2023-12-07,98.47500610351562,0.004975155367519767
2023-12-18,99.45000457763672,9425,2024-01-09,98.47500610351562,-0.009803905774181746
2024-01-29,99.9375,9287,2024-04-17,142.83750915527344,0.42926838429291747
2024-04-29,154.53750610351562,8584,2024-07-19,204.0,0.32006789253705403
2024-08-20,186.5,9389,2024-09-05,175.0,-0.06166219839142091
2024-09-25,188.5,8717,2024-11-18,202.5,0.07427055702917772
