buy_date,buy_price,shares,sell_date,sell_price,return
2022-02-10,889.6102905273438,1124,2022-02-25,832.0923461914062,-0.06465521470288071
2022-05-18,655.7041015625,1426,2022-06-17,637.2984008789062,-0.02807013199968426
2022-07-19,558.1846923828125,1628,2022-08-12,576.7345581054688,0.033232487339395614
2022-08-17,592.7549438476562,1584,2022-08-24,562.4005126953125,-0.05120907293545093
2022-10-19,486.5144348144531,1831,2022-12-12,600.3435668945312,0.23396866348578182
2023-01-11,596.1277465820312,1844,2023-02-17,609.6185302734375,0.022630692445968586
2023-03-01,666.9547729492188,1686,2023-04-06,634.9139404296875,-0.04804048762984234
2023-05-15,573.3619384765625,1867,2023-06-28,648.8318481445312,0.13162699614922863
2023-07-04,653.4996948242188,1853,2023-07-06,644.1640625,-0.014285595537622844
2023-07-20,646.0311889648438,1848,2023-07-21,636.6954345703125,-0.014450934496661415
2023-08-02,661.90185546875,1777,2023-08-15,632.961181640625,-0.04372351216273537
2023-08-29,662.83544921875,1697,2024-01-05,882.6017456054688,0.331554832569299
2024-01-26,896.976318359375,1670,2024-03-21,1092.4710693359375,0.21794862024243233
2024-04-10,1145.1781005859375,1593,2024-04-16,1011.0149536132812,-0.11715483111667158
2024-05-09,1049.347412109375,1535,2024-07-16,1317.4345703125,0.2554798869367983
2024-08-19,1229.2791748046875,1645,2024-09-05,1087.2508544921875,-0.11553788856389437
2024-09-25,1199.89404296875,1490,2024-11-08,1253.766845703125,0.04489796665802604
2024-11-26,1253.766845703125,1490,2024-11-27,1224.381591796875,-0.02343757454343152
2024-12-03,1288.0494384765625,1417,2024-12-30,1390.8975830078125,0.07984797901305202
